archivo,tamanio,dificultad,estado,movimientos,tiempo
instancia_1.txt,5x5,dificil,resuelto,216,7.6833
instancia_10.txt,5x5,dificil,timeout,,120
instancia_100.txt,5x5,dificil,resuelto,160,3.0664
instancia_11.txt,5x5,dificil,timeout,,120
instancia_12.txt,5x5,dificil,timeout,,120
instancia_13.txt,5x5,dificil,timeout,,120
instancia_14.txt,5x5,dificil,resuelto,394,79.296
instancia_15.txt,5x5,dificil,timeout,,120
instancia_16.txt,5x5,dificil,timeout,,120
instancia_17.txt,5x5,dificil,resuelto,692,93.3147
instancia_18.txt,5x5,dificil,timeout,,120
instancia_19.txt,5x5,dificil,timeout,,120
instancia_2.txt,5x5,dificil,timeout,,120
instancia_20.txt,5x5,dificil,timeout,,120
instancia_21.txt,5x5,dificil,resuelto,634,17.0435
instancia_22.txt,5x5,dificil,timeout,,120
instancia_23.txt,5x5,dificil,resuelto,846,52.8701
instancia_24.txt,5x5,dificil,timeout,,120
instancia_25.txt,5x5,dificil,timeout,,120
instancia_26.txt,5x5,dificil,timeout,,120
instancia_27.txt,5x5,dificil,resuelto,382,24.883
instancia_28.txt,5x5,dificil,timeout,,120
instancia_29.txt,5x5,dificil,timeout,,120
instancia_3.txt,5x5,dificil,resuelto,188,2.6327
instancia_30.txt,5x5,dificil,timeout,,120
instancia_31.txt,5x5,dificil,resuelto,632,31.5186
instancia_32.txt,5x5,dificil,timeout,,120
instancia_33.txt,5x5,dificil,timeout,,120
instancia_34.txt,5x5,dificil,timeout,,120
instancia_35.txt,5x5,dificil,timeout,,120
instancia_36.txt,5x5,dificil,timeout,,120
instancia_37.txt,5x5,dificil,resuelto,1436,40.4013
instancia_38.txt,5x5,dificil,timeout,,120
instancia_39.txt,5x5,dificil,timeout,,120
instancia_4.txt,5x5,dificil,resuelto,172,6.1075
instancia_40.txt,5x5,dificil,resuelto,180,3.1644
instancia_41.txt,5x5,dificil,timeout,,120
instancia_42.txt,5x5,dificil,timeout,,120
instancia_43.txt,5x5,dificil,resuelto,222,2.1786
instancia_44.txt,5x5,dificil,timeout,,120
instancia_45.txt,5x5,dificil,timeout,,120
instancia_46.txt,5x5,dificil,timeout,,120
instancia_47.txt,5x5,dificil,timeout,,120
instancia_48.txt,5x5,dificil,timeout,,120
instancia_49.txt,5x5,dificil,resuelto,386,5.5065
instancia_5.txt,5x5,dificil,resuelto,2320,93.0472
instancia_50.txt,5x5,dificil,resuelto,2924,71.0664
instancia_51.txt,5x5,dificil,resuelto,570,39.6188
instancia_52.txt,5x5,dificil,resuelto,4216,112.3327
instancia_53.txt,5x5,dificil,resuelto,312,19.4671
instancia_54.txt,5x5,dificil,timeout,,120
instancia_55.txt,5x5,dificil,resuelto,434,19.5266
instancia_56.txt,5x5,dificil,timeout,,120
instancia_57.txt,5x5,dificil,timeout,,120
instancia_58.txt,5x5,dificil,timeout,,120
instancia_59.txt,5x5,dificil,timeout,,120
instancia_6.txt,5x5,dificil,timeout,,120
instancia_60.txt,5x5,dificil,resuelto,226,5.8066
instancia_61.txt,5x5,dificil,resuelto,236,27.219
instancia_62.txt,5x5,dificil,timeout,,120
instancia_63.txt,5x5,dificil,resuelto,584,63.2729
instancia_64.txt,5x5,dificil,timeout,,120
instancia_65.txt,5x5,dificil,timeout,,120
instancia_66.txt,5x5,dificil,resuelto,636,50.4027
instancia_67.txt,5x5,dificil,timeout,,120
instancia_68.txt,5x5,dificil,resuelto,730,89.9932
instancia_69.txt,5x5,dificil,timeout,,120
instancia_7.txt,5x5,dificil,resuelto,144,14.8278
instancia_70.txt,5x5,dificil,timeout,,120
instancia_71.txt,5x5,dificil,timeout,,120
instancia_72.txt,5x5,dificil,resuelto,214,10.2604
instancia_73.txt,5x5,dificil,resuelto,328,9.5982
instancia_74.txt,5x5,dificil,resuelto,4830,110.2828
instancia_75.txt,5x5,dificil,timeout,,120
instancia_76.txt,5x5,dificil,timeout,,120
instancia_77.txt,5x5,dificil,timeout,,120
instancia_78.txt,5x5,dificil,timeout,,120
instancia_79.txt,5x5,dificil,resuelto,480,96.7993
instancia_8.txt,5x5,dificil,timeout,,120
instancia_80.txt,5x5,dificil,timeout,,120
instancia_81.txt,5x5,dificil,timeout,,120
instancia_82.txt,5x5,dificil,timeout,,120
instancia_83.txt,5x5,dificil,timeout,,120
instancia_84.txt,5x5,dificil,resuelto,416,93.0497
instancia_85.txt,5x5,dificil,resuelto,18,0.1691
instancia_86.txt,5x5,dificil,timeout,,120
instancia_87.txt,5x5,dificil,resuelto,2930,75.7761
instancia_88.txt,5x5,dificil,resuelto,494,76.8652
instancia_89.txt,5x5,dificil,resuelto,256,4.5261
instancia_9.txt,5x5,dificil,timeout,,120
instancia_90.txt,5x5,dificil,resuelto,2800,78.0304
instancia_91.txt,5x5,dificil,resuelto,104,3.4911
instancia_92.txt,5x5,dificil,timeout,,120
instancia_93.txt,5x5,dificil,timeout,,120
instancia_94.txt,5x5,dificil,resuelto,1042,55.7221
instancia_95.txt,5x5,dificil,timeout,,120
instancia_96.txt,5x5,dificil,timeout,,120
instancia_97.txt,5x5,dificil,resuelto,266,19.8167
instancia_98.txt,5x5,dificil,timeout,,120
instancia_99.txt,5x5,dificil,resuelto,1510,55.6911
instancia_1.txt,5x5,facil,resuelto,18,0.1959
instancia_10.txt,5x5,facil,resuelto,10,0.0129
instancia_100.txt,5x5,facil,resuelto,10,0.0124
instancia_11.txt,5x5,facil,resuelto,10,0.0147
instancia_12.txt,5x5,facil,resuelto,18,0.0313
instancia_13.txt,5x5,facil,resuelto,10,0.013
instancia_14.txt,5x5,facil,resuelto,10,0.0162
instancia_15.txt,5x5,facil,resuelto,10,0.0148
instancia_16.txt,5x5,facil,resuelto,10,0.0748
instancia_17.txt,5x5,facil,resuelto,16,0.0875
instancia_18.txt,5x5,facil,resuelto,14,0.0206
instancia_19.txt,5x5,facil,resuelto,26,0.0831
instancia_2.txt,5x5,facil,resuelto,10,1.4144
instancia_20.txt,5x5,facil,resuelto,20,0.0473
instancia_21.txt,5x5,facil,resuelto,10,0.0141
instancia_22.txt,5x5,facil,resuelto,24,0.0641
instancia_23.txt,5x5,facil,resuelto,38,0.442
instancia_24.txt,5x5,facil,resuelto,10,0.0149
instancia_25.txt,5x5,facil,resuelto,30,0.1148
instancia_26.txt,5x5,facil,resuelto,10,0.0142
instancia_27.txt,5x5,facil,resuelto,10,0.0139
instancia_28.txt,5x5,facil,resuelto,8,0.0106
instancia_29.txt,5x5,facil,resuelto,10,0.0138
instancia_3.txt,5x5,facil,resuelto,10,0.0133
instancia_30.txt,5x5,facil,resuelto,4,0.0059
instancia_31.txt,5x5,facil,resuelto,10,0.0138
instancia_32.txt,5x5,facil,resuelto,14,0.0176
instancia_33.txt,5x5,facil,resuelto,10,0.0118
instancia_34.txt,5x5,facil,resuelto,10,0.0163
instancia_35.txt,5x5,facil,resuelto,484,37.1746
instancia_36.txt,5x5,facil,resuelto,10,0.0785
instancia_37.txt,5x5,facil,resuelto,10,0.0953
instancia_38.txt,5x5,facil,resuelto,10,0.0137
instancia_39.txt,5x5,facil,resuelto,10,0.0127
instancia_4.txt,5x5,facil,resuelto,10,0.0143
instancia_40.txt,5x5,facil,resuelto,10,0.014
instancia_41.txt,5x5,facil,resuelto,18,0.0857
instancia_42.txt,5x5,facil,resuelto,10,0.0135
instancia_43.txt,5x5,facil,resuelto,12,0.0808
instancia_44.txt,5x5,facil,resuelto,10,0.0129
instancia_45.txt,5x5,facil,resuelto,10,0.0126
instancia_46.txt,5x5,facil,resuelto,10,0.0139
instancia_47.txt,5x5,facil,resuelto,10,0.0139
instancia_48.txt,5x5,facil,resuelto,38,0.4383
instancia_49.txt,5x5,facil,resuelto,10,0.0141
instancia_5.txt,5x5,facil,resuelto,38,0.4351
instancia_50.txt,5x5,facil,resuelto,14,0.02
instancia_51.txt,5x5,facil,resuelto,10,0.0129
instancia_52.txt,5x5,facil,resuelto,10,0.0179
instancia_53.txt,5x5,facil,resuelto,10,0.0145
instancia_54.txt,5x5,facil,resuelto,10,0.0145
instancia_55.txt,5x5,facil,resuelto,10,0.0145
instancia_56.txt,5x5,facil,resuelto,16,0.0745
instancia_57.txt,5x5,facil,resuelto,10,0.0137
instancia_58.txt,5x5,facil,resuelto,10,0.0133
instancia_59.txt,5x5,facil,resuelto,10,0.0137
instancia_6.txt,5x5,facil,resuelto,10,0.0158
instancia_60.txt,5x5,facil,resuelto,10,0.0139
instancia_61.txt,5x5,facil,resuelto,10,0.0131
instancia_62.txt,5x5,facil,resuelto,12,0.0162
instancia_63.txt,5x5,facil,resuelto,10,0.0123
instancia_64.txt,5x5,facil,resuelto,10,0.013
instancia_65.txt,5x5,facil,resuelto,10,0.0809
instancia_66.txt,5x5,facil,resuelto,14,0.0189
instancia_67.txt,5x5,facil,resuelto,50,2.5444
instancia_68.txt,5x5,facil,resuelto,10,0.016
instancia_69.txt,5x5,facil,resuelto,10,0.0133
instancia_7.txt,5x5,facil,resuelto,10,0.0115
instancia_70.txt,5x5,facil,resuelto,14,0.0231
instancia_71.txt,5x5,facil,resuelto,278,44.1681
instancia_72.txt,5x5,facil,resuelto,18,0.1519
instancia_73.txt,5x5,facil,resuelto,10,0.0177
instancia_74.txt,5x5,facil,resuelto,10,0.0173
instancia_75.txt,5x5,facil,resuelto,10,0.0163
instancia_76.txt,5x5,facil,resuelto,10,0.015
instancia_77.txt,5x5,facil,resuelto,10,0.0148
instancia_78.txt,5x5,facil,resuelto,10,0.0141
instancia_79.txt,5x5,facil,resuelto,46,0.632
instancia_8.txt,5x5,facil,resuelto,16,0.0206
instancia_80.txt,5x5,facil,resuelto,10,0.0144
instancia_81.txt,5x5,facil,resuelto,10,0.0137
instancia_82.txt,5x5,facil,resuelto,10,0.0132
instancia_83.txt,5x5,facil,resuelto,10,0.0166
instancia_84.txt,5x5,facil,resuelto,38,0.4362
instancia_85.txt,5x5,facil,resuelto,10,0.0144
instancia_86.txt,5x5,facil,resuelto,10,0.0135
instancia_87.txt,5x5,facil,resuelto,78,2.8271
instancia_88.txt,5x5,facil,resuelto,10,0.0157
instancia_89.txt,5x5,facil,resuelto,10,0.0132
instancia_9.txt,5x5,facil,resuelto,10,0.0128
instancia_90.txt,5x5,facil,resuelto,10,0.0147
instancia_91.txt,5x5,facil,resuelto,16,0.0208
instancia_92.txt,5x5,facil,resuelto,18,0.077
instancia_93.txt,5x5,facil,resuelto,10,0.0142
instancia_94.txt,5x5,facil,resuelto,14,0.0723
instancia_95.txt,5x5,facil,resuelto,10,0.0163
instancia_96.txt,5x5,facil,resuelto,10,0.0711
instancia_97.txt,5x5,facil,resuelto,12,0.0769
instancia_98.txt,5x5,facil,resuelto,10,0.012
instancia_99.txt,5x5,facil,resuelto,10,0.0126
instancia_1.txt,5x5,medio,resuelto,30,0.0927
instancia_10.txt,5x5,medio,resuelto,274,18.6507
instancia_100.txt,5x5,medio,resuelto,34,0.0924
instancia_11.txt,5x5,medio,resuelto,20,0.0264
instancia_12.txt,5x5,medio,resuelto,18,0.0241
instancia_13.txt,5x5,medio,resuelto,68,2.0024
instancia_14.txt,5x5,medio,resuelto,24,0.0372
instancia_15.txt,5x5,medio,timeout,,120
instancia_16.txt,5x5,medio,resuelto,158,4.8771
instancia_17.txt,5x5,medio,resuelto,20,0.0312
instancia_18.txt,5x5,medio,resuelto,98,0.4336
instancia_19.txt,5x5,medio,resuelto,342,83.1658
instancia_2.txt,5x5,medio,resuelto,44,0.5965
instancia_20.txt,5x5,medio,resuelto,306,46.6969
instancia_21.txt,5x5,medio,resuelto,350,47.8303
instancia_22.txt,5x5,medio,resuelto,76,0.8785
instancia_23.txt,5x5,medio,timeout,,120
instancia_24.txt,5x5,medio,timeout,,120
instancia_25.txt,5x5,medio,resuelto,60,6.0199
instancia_26.txt,5x5,medio,resuelto,20,0.0307
instancia_27.txt,5x5,medio,resuelto,28,0.0812
instancia_28.txt,5x5,medio,resuelto,28,0.1215
instancia_29.txt,5x5,medio,resuelto,10,0.013
instancia_3.txt,5x5,medio,resuelto,70,5.5419
instancia_30.txt,5x5,medio,resuelto,34,0.1627
instancia_31.txt,5x5,medio,timeout,,120
instancia_32.txt,5x5,medio,resuelto,346,84.2929
instancia_33.txt,5x5,medio,resuelto,14,0.127
instancia_34.txt,5x5,medio,resuelto,18,0.0447
instancia_35.txt,5x5,medio,timeout,,120
instancia_36.txt,5x5,medio,resuelto,22,0.2316
instancia_37.txt,5x5,medio,resuelto,28,0.0331
instancia_38.txt,5x5,medio,resuelto,198,1.745
instancia_39.txt,5x5,medio,timeout,,120
instancia_4.txt,5x5,medio,resuelto,20,0.2701
instancia_40.txt,5x5,medio,resuelto,138,5.595
instancia_41.txt,5x5,medio,resuelto,106,1.0019
instancia_42.txt,5x5,medio,resuelto,70,1.9892
instancia_43.txt,5x5,medio,resuelto,186,9.619
instancia_44.txt,5x5,medio,resuelto,10,0.0283
instancia_45.txt,5x5,medio,resuelto,332,81.2458
instancia_46.txt,5x5,medio,resuelto,144,9.5969
instancia_47.txt,5x5,medio,resuelto,18,0.0408
instancia_48.txt,5x5,medio,resuelto,14,0.0226
instancia_49.txt,5x5,medio,resuelto,248,20.928
instancia_5.txt,5x5,medio,timeout,,120
instancia_50.txt,5x5,medio,resuelto,76,3.0511
instancia_51.txt,5x5,medio,resuelto,90,2.6004
instancia_52.txt,5x5,medio,resuelto,20,0.0311
instancia_53.txt,5x5,medio,resuelto,26,0.0966
instancia_54.txt,5x5,medio,resuelto,38,0.1314
instancia_55.txt,5x5,medio,resuelto,22,0.0859
instancia_56.txt,5x5,medio,resuelto,36,0.1134
instancia_57.txt,5x5,medio,resuelto,298,46.7408
instancia_58.txt,5x5,medio,resuelto,22,0.1697
instancia_59.txt,5x5,medio,resuelto,3036,78.743
instancia_6.txt,5x5,medio,resuelto,288,43.692
instancia_60.txt,5x5,medio,resuelto,96,0.4854
instancia_61.txt,5x5,medio,resuelto,264,4.5637
instancia_62.txt,5x5,medio,resuelto,312,45.5354
instancia_63.txt,5x5,medio,resuelto,20,0.2038
instancia_64.txt,5x5,medio,resuelto,326,85.9031
instancia_65.txt,5x5,medio,resuelto,18,0.161
instancia_66.txt,5x5,medio,timeout,,120
instancia_67.txt,5x5,medio,timeout,,120
instancia_68.txt,5x5,medio,resuelto,194,13.3866
instancia_69.txt,5x5,medio,resuelto,24,0.1214
instancia_7.txt,5x5,medio,resuelto,80,1.0128
instancia_70.txt,5x5,medio,timeout,,120
instancia_71.txt,5x5,medio,resuelto,32,0.6178
instancia_72.txt,5x5,medio,resuelto,40,0.4501
instancia_73.txt,5x5,medio,resuelto,20,0.0244
instancia_74.txt,5x5,medio,resuelto,282,53.3243
instancia_75.txt,5x5,medio,timeout,,120
instancia_76.txt,5x5,medio,resuelto,34,0.2633
instancia_77.txt,5x5,medio,timeout,,120
instancia_78.txt,5x5,medio,timeout,,120
instancia_79.txt,5x5,medio,timeout,,120
instancia_8.txt,5x5,medio,resuelto,34,0.2916
instancia_80.txt,5x5,medio,resuelto,82,7.1977
instancia_81.txt,5x5,medio,resuelto,32,0.1028
instancia_82.txt,5x5,medio,timeout,,120
instancia_83.txt,5x5,medio,resuelto,22,0.2105
instancia_84.txt,5x5,medio,resuelto,312,44.9232
instancia_85.txt,5x5,medio,resuelto,84,2.9154
instancia_86.txt,5x5,medio,timeout,,120
instancia_87.txt,5x5,medio,resuelto,94,2.0038
instancia_88.txt,5x5,medio,resuelto,44,0.1269
instancia_89.txt,5x5,medio,resuelto,20,0.0276
instancia_9.txt,5x5,medio,resuelto,20,0.0251
instancia_90.txt,5x5,medio,resuelto,20,0.0226
instancia_91.txt,5x5,medio,resuelto,192,4.1513
instancia_92.txt,5x5,medio,resuelto,134,6.3142
instancia_93.txt,5x5,medio,resuelto,232,5.8368
instancia_94.txt,5x5,medio,resuelto,14,0.0297
instancia_95.txt,5x5,medio,timeout,,120
instancia_96.txt,5x5,medio,resuelto,32,0.3112
instancia_97.txt,5x5,medio,resuelto,28,0.0975
instancia_98.txt,5x5,medio,resuelto,34,0.146
instancia_99.txt,5x5,medio,resuelto,22,0.2326
